2021 super output area - middle layer,mnemonic,Total,No cars or vans in household,1 or more cars or vans in household
Calderdale 015,E02002258,4052,823,3229
Calderdale 016,E02002259,3121,724,2397
Calderdale 017,E02002260,4342,1191,3151
Calderdale 018,E02002261,3650,886,2764
Calderdale 019,E02002262,3708,990,2718
Calderdale 020,E02002263,2805,598,2207
Calderdale 021,E02002264,3089,578,2511
Calderdale 022,E02002265,2607,586,2021
Calderdale 023,E02002266,2572,489,2083
Calderdale 024,E02002267,3532,783,2749
Calderdale 025,E02002268,4661,1217,3444
Calderdale 026,E02002269,4120,618,3502
Calderdale 027,E02002270,3583,338,3245
Kirklees 001,E02002271,3202,402,2800
Kirklees 002,E02002272,4243,972,3271
Kirklees 003,E02002273,2880,418,2462
Kirklees 004,E02002274,2902,426,2476
Kirklees 005,E02002275,4054,1091,2963
Kirklees 006,E02002276,3134,635,2499
Kirklees 007,E02002277,2553,510,2043
Kirklees 008,E02002278,2795,519,2276
Kirklees 009,E02002279,2823,791,2032
Kirklees 010,E02002280,2632,949,1683
Kirklees 011,E02002281,4432,1029,3403
Kirklees 012,E02002282,2553,594,1959
Kirklees 013,E02002283,2343,610,1733
Kirklees 014,E02002284,2699,542,2157
Kirklees 015,E02002285,3372,516,2856
Kirklees 016,E02002286,2398,691,1707
Kirklees 017,E02002287,2757,909,1848
Kirklees 018,E02002288,4103,1033,3070
Kirklees 019,E02002289,2146,594,1552
Kirklees 020,E02002290,2752,408,2344
Kirklees 021,E02002291,2765,459,2306
Kirklees 022,E02002292,2359,418,1941
Kirklees 023,E02002293,2642,822,1820
Kirklees 024,E02002294,3176,711,2465
Kirklees 025,E02002295,3013,1086,1927
Kirklees 026,E02002296,3250,669,2581
Kirklees 027,E02002297,2826,429,2397
Kirklees 028,E02002298,2854,686,2168
Kirklees 029,E02002299,2953,1427,1526
Kirklees 030,E02002300,3689,636,3053
Kirklees 031,E02002301,2861,996,1865
Kirklees 032,E02002302,2610,282,2328
Kirklees 033,E02002303,2913,752,2161
Kirklees 034,E02002304,3048,1173,1875
Kirklees 035,E02002305,2664,1010,1654
Kirklees 036,E02002306,2755,407,2348
Kirklees 037,E02002307,2626,705,1921
Kirklees 038,E02002308,3060,590,2470
Kirklees 039,E02002309,2760,1031,1729
Kirklees 040,E02002310,2631,839,1792
Kirklees 041,E02002311,2923,648,2275
Kirklees 042,E02002312,2939,1178,1761
Kirklees 043,E02002313,2497,931,1566
Kirklees 044,E02002314,2581,536,2045
Kirklees 045,E02002315,3067,844,2223
Kirklees 046,E02002316,2915,368,2547
Kirklees 047,E02002317,2963,936,2027
Kirklees 048,E02002318,2880,967,1913
Kirklees 049,E02002319,3084,593,2491
Kirklees 050,E02002320,2941,679,2262
Kirklees 051,E02002321,2670,297,2373
Kirklees 052,E02002322,2812,494,2318
Kirklees 053,E02002323,3639,560,3079
Kirklees 054,E02002324,2914,381,2533
Kirklees 055,E02002325,3883,600,3283
Kirklees 056,E02002326,2469,204,2265
Kirklees 057,E02002327,4253,426,3827
Kirklees 058,E02002328,3068,369,2699
Kirklees 059,E02002329,5265,582,4683
